Liczba paczek,czas GH4 0.25,czas GH4 0.75
20000,0.018950462341308594,0.024934053421020508
40000,0.049866437911987305,0.047873497009277344
60000,0.06382346153259277,0.08275175094604492
80000,0.09275460243225098,0.1436142921447754
100000,0.12865829467773438,0.18350648880004883
120000,0.16614556312561035,0.23865675926208496
140000,0.20243072509765625,0.27925562858581543
160000,0.2592637538909912,0.3300893306732178
180000,0.2902228832244873,0.370011568069458
200000,0.3322896957397461,0.47077178955078125
